the_geom,OBJECTID,Segment_ID,StreetName,CENSUS_ID,DEPOT_NUMB,DEPOT_NAME,MOCO_MAINT,Shape_Leng,FromStreet,ToStreet,Length_1,Width,SurfaceTyp,PCI
"MULTILINESTRING ((-77.15436611723884 38.97312271654904, -77.15426102372619 38.97413336562135, -77.15420227446278 38.97482055895028))",12831,8793,75TH PL,8793,14,Bethesda,YES,620.128185229,MAC ARTHUR BLV,ARDEN RD,620.1,20,AC,33.426
"MULTILINESTRING ((-77.15314940637512 38.972859354424116, -77.15312237325946 38.97316948467617, -77.15307215942006 38.97374143191166, -77.15304984403679 38.973996469884966, -77.15300779697138 38.97448157294453))",12835,8794,75TH ST,8794,14,Bethesda,YES,592.18843732,MAC ARTHUR BLV,ARDEN RD,592.2,28,AC,51.1002
"MULTILINESTRING ((-77.15300779697138 38.97448157294453, -77.15298724449137 38.97473892511653))",12744,8795,75TH ST,8795,14,Bethesda,YES,93.9106295599,ARDEN RD,ARDEN RD,93.9,28,AC,50.1773
"MULTILINESTRING ((-77.15298724449137 38.97473892511653, -77.15295068655094 38.975118825879385, -77.15296503465355 38.97524845657098, -77.15298976212081 38.97529716064144, -77.15303650291577 38.97535939301306, -77.15309334925308 38.97541835161291))",12516,8796,75TH ST,8796,14,Bethesda,YES,258.367767451,ARDEN RD,Dead End,258.4,28,AC,41.5174
"MULTILINESTRING ((-77.15698494254225 38.97497035958949, -77.15698522702927 38.97509949366449, -77.15692768235742 38.975723106256844, -77.15688332199457 38.97634429877673, -77.15686163740256 38.97648075551651, -77.1568406518025 38.97653526893107, -77.15678930381752 38.976579097847186))",12716,8819,76TH PL,8819,14,Bethesda,YES,593.774785733,TOMLINSON AVE,CABIN RD,593.8,20,AC,35.5659
"MULTILINESTRING ((-77.1557153364097 38.97386012684221, -77.1556941519038 38.97402489813648, -77.15561732810282 38.97488535404192))",12777,8820,76TH ST,8820,14,Bethesda,YES,374.453420203,TOMLINSON AVE,ARDEN RD,374.5,20,AC,39.8871
"MULTILINESTRING ((-77.15561732810282 38.97488535404192, -77.1555775899635 38.97541344277809, -77.15548012865037 38.9764897221055))",12723,8821,76TH ST,8821,14,Bethesda,YES,585.626868887,ARDEN RD,CABIN RD,585.6,20,AC,47.4839
"MULTILINESTRING ((-77.15854371082798 38.973620623816046, -77.15851535864421 38.973722682848255, -77.15847965991364 38.97408001812271, -77.15842592009908 38.974826754539116, -77.15838309628329 38.975341806344886, -77.15832561793339 38.97599004506684, -77.15826246992835 38.97606563794182))",12791,8839,77TH ST,8839,14,Bethesda,YES,898.467193255,MAC ARTHUR BLV,TOMLINSON AVE,898.5,25,AC,54.331
"MULTILINESTRING ((-77.16038496690821 38.97219926282838, -77.16023883491577 38.97271411401449))",12869,8852,78TH ST,8852,14,Bethesda,YES,192.058166624,Dead End,WOODROW PL,192.1,18,AC,87.3
"MULTILINESTRING ((-77.1599715461414 38.973903805106076, -77.16000571211747 38.97404215975553, -77.15996343215785 38.974598311456184, -77.15990661336271 38.97533784553231, -77.1598274747796 38.976320491636415, -77.15979627701765 38.976525862219816))",12774,8853,78TH ST,8853,14,Bethesda,YES,957.96214506,MAC ARTHUR BLV,TOMLINSON AVE,958,22,AC,30.6572
"MULTILINESTRING ((-77.16331539071304 38.97297464812529, -77.1633083587821 38.97297585942183, -77.1632697973171 38.97303262941268, -77.16308223378276 38.97349477243764))",12834,8865,79TH ST,8865,14,Bethesda,YES,202.009106727,RIVERSIDE DR,WOODROW PL,202,26,AC,60.3934
"MULTILINESTRING ((-77.16308223378276 38.97349477243764, -77.16273482810682 38.97462391863449, -77.16270071151871 38.974702219044445))",12799,8866,79TH ST,8866,14,Bethesda,YES,453.055046307,WOODROW PL,MAC ARTHUR BLV,453.1,26,AC,69.7882
"MULTILINESTRING ((-77.163122126046 38.974787521410256, -77.16305462357734 38.975071025061965, -77.16299931518506 38.97530363046578, -77.16296099043088 38.975464565676276, -77.16268645337672 38.97673827456812))",12511,8867,79TH ST,8867,14,Bethesda,YES,721.211147384,MAC ARTHUR BLV,450 ft (0.09 Mi) E of 79TH PL,721.2,18,AC,38.616
"MULTILINESTRING ((-77.16372740972956 38.97490697245064, -77.16374437462733 38.975018750856165, -77.16389232170452 38.97702266010995))",12721,8882,79TH PL,8882,14,Bethesda,YES,772.037696621,MAC ARTHUR BLV,79TH ST,772,18,AC,21.1197
"MULTILINESTRING ((-77.16393172681859 38.97752301204673, -77.16391361026179 38.97767559624739))",12587,8883,79TH PL,8883,14,Bethesda,YES,55.8099489416,SPRING RD,Dead End,55.8,20,AC,91.18
